RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6411479	009429	1131208507	545.72	
6411480	009430	1131208514	592.31	
6411481	009431	1131208605	590.69	
6411482	009432	1131208614	597.15	
6411483	009433	1131208616	550	
6411485	009435	1131208707	553.39	
6411486	009436	1131208715	559.96	
6411487	009437	1131208718	568.89	
6411489	009439	1131208904	565.8	
6411490	009440	1131208907	555.88	
6411492	009442	1131209820	602.65	
6411493	009443	1131209823	676.01	
6411494	009444	1131209833	574.56	
6411495	009445	1131209837	580.32	
6411496	009446	1131209838	622.4	
6411499	009449	1131209846	564.7	
6411500	009450	1131209863	481.21	
6411501	009451	1131209903	556.69	
6411502	009452	1131209904	563.35	
6411503	009453	1131209907	559.27	
6411505	009455	1131210006	551.37	
6411506	009456	1131210007	566.96	
6411507	009457	1131210008	554.99	
6411508	009458	1131210106	550.84	
6411509	009459	1131210215	563.13	
6411510	009460	1131210217	580.75	
6411511	009461	1131210219	927.27	
6411512	009462	1131210225	601.96	
6411513	009463	1131210226	601.96	
6411514	009464	1131210227	560.82	
6411515	009465	1131210228	560.82	
6411516	009466	1131210229	560.82	
6411517	009467	1131210407	613.24	
6411518	009468	1131210701	577.46	
6411519	009469	1131222707	441.16	
6411520	009470	1131222712	446.47	
6411522	009472	1131222717	501.82	
6411523	009473	1131222718	452.7	
6411524	009474	1131222808	432.98	
6411525	009475	1131222901	439.53	
6411526	009476	1131222902	474.43	
6411527	009477	1131222905	487.33	
6411528	009478	1131222909	463.18	
6411529	009479	1131223005	476.06	
6411531	009481	1131223107	472.84	
6411532	009482	1131233560	1040.91	
6411533	009483	1131233566	1511.08	
6411536	009486	1132209813	676.01	
6411537	009487	1132209863	477.99	
6411538	009488	1132210239	620.2	
6411539	009489	1132210245	627.15	
6411540	009490	1132210256	653.48	
6411541	009491	1132210269	479.63	
6411542	009492	1132210516	574.74	
6411543	009493	1132210517	577.1	
6411545	009495	1132210707	574.07	
6411546	009496	1132210801	576.29	
6411547	009497	1132210812	579.6	
6411549	009499	1132210910	575.44	
6411550	009500	1132210911	573.98	
6411551	009501	1132210916	590.34	
6411552	009502	1132210921	186.26	
6411553	009503	1132211002	584.61	
6411554	009504	1132211004	619.66	
6411556	009506	1132211008	570.7	
6411557	009507	1132211012	580.13	
6411558	009508	1132211115	5479.48	
6411559	009509	1132211239	580.32	
6411560	009510	1132211240	579.63	
6411561	009511	1132211256	477.99	
6411562	009512	1132211257	477.99	
6411564	009514	1132211306	570.36	
6411566	009516	1132211317	561.44	
6411567	009517	1132211507	556.69	
6411568	009518	1132211514	556.69	
6411569	009519	1132211515	605.19	
6411570	009520	1132211608	582.88	
6411571	009521	1132211609	563.24	
6411573	009523	1132211612	559.97	
6411574	009524	1132211618	479.63	
6411575	009525	1132211712	570.49	
6411576	009526	1132211718	635.2	
6411577	009527	1132211724	635.2	
6411578	009528	1132211760	1076.78	
6411579	009529	1132211761	477.99	
