RA_ITEMID	ADVNUM	BLOCK	LOT	QUAL	TOTAL_IN_SALE	PERCENTAGE_BID	PREMIUM_BID
191542	000492	482	2		889.01		
191543	000493	482	9		968.62		
191544	000494	485	7		748.53		
191545	000495	485	26		269.55		
191546	000496	486	14		544.86		
191547	000497	488	11		661.25		
191548	000498	488	13		269.55		
191549	000499	490	6		270.14		
191550	000500	491	12		8881.29		
191551	000501	495	12		498.76		
191552	000502	495	14		95.72		
191553	000503	496	4		339.22		
191554	000504	500	7		1086.8		
191555	000505	503	11		1254.28		
191556	000506	503	12		7404.05		
191557	000507	506	2		924.62		
191558	000508	507	1		2408.12		
191559	000509	507	13		486.77		
191560	000510	511	2		551.01		
191561	000511	511	10		151.53		
191562	000512	511	11		619.14		
191563	000513	514	3		5883.3		
191564	000514	514	5		692.03		
191565	000515	526	10		6166.83		
191566	000516	526	11		975.21		
191567	000517	526	15		155		
191568	000518	526	18		773.15		
191569	000519	534	8		85.19		
191570	000520	537	3		220		
191571	000521	537	4		1576.71		
191572	000522	537	6		328.19		
191573	000523	537	10		1400.35		
191574	000524	537	13.02		2290.22		
191575	000525	537	19		1071.09		
191576	000526	538	19		2392.55		
191577	000527	538	22.02		220		
191578	000528	539	3		9134.74		
191579	000529	539	12		295.71		
191580	000530	539	15		389.35		
191581	000531	540	8		1106.53		
191582	000532	542	3		322.69		
191583	000533	542	5		600.2		
191584	000534	545	10		437.12		
191585	000535	545	37.01		544.98		
191586	000536	546	16		2263.89		
191587	000537	546	24		155		
191588	000538	549	4		394.78		
191589	000539	549	9		276.45		
191590	000540	549	15		406.67		
191591	000541	552	9		612.24		
191592	000542	552	14		362.35		
191593	000543	553	5		1005.45		
191594	000544	555	1		600.74		
191595	000545	555	12		910.65		
191596	000546	555	16		377		
191597	000547	555	20		158.08		
191598	000548	555	23		640.91		
191599	000549	556	10		1639.88		
191600	000550	556	11		462.79		
191601	000551	556	12		395.26		
191602	000552	556	15		723.21		
191603	000553	556	20		155		
191604	000554	558	2.04		743.54		
191605	000555	560	2.02		914.01		
191606	000556	562	13		710.73		
191607	000557	562	17		286.71		
191608	000558				155		
191609	000559	563	1		6519.19		
191610	000560	563	21		1039.47		
191611	000561	563	33		220		
191612	000562	564	6		483.25		
191613	000563	565	11		663.87		
191614	000564	566	12		313.96		
191615	000565	566	14		847.86		
191616	000566	567	1		378.25		
191617	000567	569	6		8767.56		
191618	000568	570	27.01		211.45		
191619	000569	571	3		4266.37		
191620	000570	571	11		339.4		
191621	000571	571	17		205.71		
191622	000572	572	5		408.31		
191623	000573	572	10		1332.75		
191624	000574	572	11		763.91		
191625	000575	573	8		20433.01		
191626	000576	573	20.02		155		
191627	000577				155		
191628	000578	577	14		478.15		
191629	000579	582	5		270.14		
191630	000580	582	50		15270.12		
191631	000581	582	51		502.12		
191632	000582	582	53		270.14		
191633	000583	587	3.01		359299.34		
191634	000584	587	3.02		9954.76		
191635	000585	587	3.03		15280.54		
