RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971567,230644,1975-19-3-32-016,1244.96,
2971568,230645,1975-19-3-32-039,606.95,
2971569,230647,1975-19-3-34-075,1273.33,
2971570,230648,1975-19-3-36-020,1603.29,
2971571,230649,1975-19-3-36-053,680.5,
2971572,230650,1975-19-4-02-021,6525.38,
2971573,230653,1975-19-4-04-005,1298.9,
2971574,230657,1975-19-4-09-038,1102.89,
2971575,230660,1975-19-4-20-030,910.93,
2971576,230662,1975-20-1-08-001,1244.56,
2971577,230665,1975-20-1-11-031,1201.3,
2971578,230667,1975-20-1-15-010,2774.9,
2971579,230668,1975-20-1-16-001,3716.88,
2971580,230670,1975-20-1-21-010,2471.08,
2971581,230671,1975-20-2-00-800,26.05,
2971582,230673,1975-20-2-06-012,2814.47,
2971583,230674,1975-20-2-07-008,2917.49,
2971584,230677,1975-20-2-26-021,642.08,
2971585,230681,1975-20-3-17-022,41.19,
2971586,230682,1975-20-4-02-002,2446.37,
2971587,230683,1975-20-4-05-012,2736.88,
2971588,230685,1975-20-4-10-008,2406.81,
2971589,230686,1975-20-4-19-005,2503.22,
2971590,230691,1975-21-1-05-006,2570.35,
2971591,230692,1975-21-1-05-076,2585.29,
2971592,230695,1975-21-1-10-017,2757.06,
2971593,230696,1975-21-2-02-017,2648.78,
2971594,230697,1975-21-2-03-006,1300.45,
2971595,230699,1975-21-3-03-009,2571.84,
2971596,230700,1975-21-3-03-032,2591.31,
2971597,230701,1975-21-3-14-035,1170.18,
2971598,230703,1975-21-4-05-031,1113.12,
2971599,230705,1975-21-4-06-015,2653.18,
2971600,230706,1975-21-4-15-004,2895.89,
2971601,230708,1975-21-4-24-040,1317.84,
2971602,230712,1975-22-1-04-009,490.84,
2971603,230718,1975-22-2-07-027,2520.17,
2971604,230719,1975-22-2-10-017,2635.36,
2971605,230720,1975-22-2-14-007,2603.98,
2971606,230723,1975-22-3-12-030,2473.97,
2971607,230724,1975-22-4-04-022,2565.83,
2971608,230726,1975-28-1-01-005,2747.29,
2971609,230728,1975-28-1-04-031,3140.12,
2971610,230732,1975-28-2-09-003,2746.56,
2971611,230733,1975-28-2-11-013,1537.84,
2971612,230735,1975-28-3-09-005,2435.92,
2971613,230740,1975-29-1-09-056,34.88,
2971614,230741,1975-29-1-09-060,2587.54,
2971615,230749,1975-29-4-11-027,2592.05,
2971616,230751,1975-29-4-16-005,2582.26,
2971617,230752,1975-29-4-17-001,2556.17,
2971618,230757,1975-30-1-11-010,2883.98,
2971619,230759,1975-30-1-22-008,3059.43,
2971620,230762,1975-30-1-28-013,1317.46,
2971621,230763,1975-30-2-04-018,2070.75,
2971622,230765,1975-30-2-06-004,2373.21,
2971623,230770,1975-30-3-06-010,832.92,
2971624,230772,1975-30-4-02-024,39.58,
2971625,230775,1975-30-4-17-001,2916.86,
2971626,230776,1975-30-4-17-011,39.58,
2971627,230777,1975-31-2-05-052,2538.51,
2971628,230778,1975-31-2-05-121,1699.16,
2971629,230779,1975-31-2-08-021,3259.93,
2971630,230780,1975-31-2-09-103,2072.41,
2971631,230781,1975-31-2-09-143,2496.97,
