RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6351694	000621	232714-000940-000230	1594.59	
6351695	000622	232714-000940-000500	961.88	
6351699	000626	232714-000942-000120	4128.19	
6351701	000628	232714-000944-000140	5168.66	
6351703	000630	232715-000000-011230	2115.84	
6351704	000631	232715-000000-013060	1239.86	
6351705	000632	232715-000000-022030	1756.53	
6351706	000633	232715-000000-023010	4186.98	
6351707	000634	232715-000000-034020	8614.26	
6351708	000635	232715-000947-000610	4416.22	
6351709	000636	232715-000950-000010	723.42	
6351712	000639	232715-000951-000490	3798.35	
6351714	000641	232715-000960-000220	3461.18	
6351715	000642	232715-000960-000460	856.98	
6351716	000643	232715-000960-000470	878.14	
6351717	000644	232715-000971-000130	3531.76	
6351718	000645	232715-000972-000090	4515.42	
6351720	000647	232715-000972-000390	635.94	
6351721	000648	232715-000973-000660	3713.66	
6351722	000649	232715-000974-000450	3127.72	
6351724	000651	232715-000975-001470	3717.71	
6351728	000655	232716-000000-041080	1121.29	
6351729	000656	232716-000000-041160	3222.19	
6351730	000657	232716-000000-041220	2587.42	
6351731	000658	232716-000000-042070	402.74	
6351732	000659	232716-000983-000690	250.58	
6351733	000660	232716-000983-000840	2678.07	
6351734	000661	232716-000983-001070	3231.72	
6351736	000663	232716-000986-000810	840.4	
6351737	000664	232716-000987-000100	1069.6	
6351740	000667	232716-000989-000180	4199.75	
6351741	000668	232716-000989-000220	434.49	
6351742	000669	232716-000993-040890	5129.58	
6351746	000673	232716-001002-000170	3937.13	
6351747	000674	232716-001002-000190	3935.38	
6351748	000675	232716-001007-000460	309.42	
6351750	000677	232716-001010-000041	4269.06	
6351756	000683	232716-001015-000550	3384.07	
6351758	000685	232717-000000-011030	4658.24	
6351761	000688	232717-000000-012170	12659.07	
6351762	000689	232717-000000-014010	5194.35	
6351763	000690	232717-000000-023190	3886.5	
6351766	000693	232717-000000-032050	821.59	
6351769	000696	232717-000000-041150	3859.72	
6351771	000698	232717-000990-000470	774.11	
6351772	000699	232717-000990-000730	2763.45	
6351773	000700	232718-000000-011010	1346.93	
6351774	000701	232718-000000-011020	68.41	
6351775	000702	232718-000000-011040	1240.01	
6351776	000703	232718-000995-000300	2568.63	
6351778	000705	232718-000995-000370	3144.31	
6351779	000706	232718-000995-000760	2472.28	
6351780	000707	232718-000995-000950	2507.06	
6351781	000708	232718-000995-001100	975.63	
6351783	000710	232718-000995-001361	1352.03	
6351784	000711	232718-000995-001380	2511.51	
6351785	000712	232718-000995-001470	873.47	
6351786	000713	232718-000995-001490	1831.28	
6351787	000714	232718-000995-001520	894.75	
6351788	000715	232718-000996-000030	966.09	
6351790	000717	232718-000996-000130	2235	
6351791	000718	232718-000996-000170	4516.55	
6351793	000720	232718-000996-000370	737.65	
6351794	000721	232718-000996-000380	977.4	
6351795	000722	232718-000996-000450	920.87	
6351798	000725	232718-000996-000530	2078.59	
6351801	000728	232718-000996-000970	628.05	
6351802	000729	232718-000996-001020	2474.99	
6351805	000732	232718-000996-001400	1131.22	
6351806	000733	232718-000996-001420	1967.35	
6351809	000736	232718-000996-001620	2422.75	
6351810	000737	232718-000996-001630	583.55	
6351811	000738	232718-000997-000180	1776.95	
6351812	000739	232718-000997-000220	751.97	
6351814	000741	232718-000997-000470	2816.37	
6351815	000742	232718-000997-000920	1739.25	
6351816	000743	232718-000997-000970	665.27	
6351817	000744	232718-000997-001000	935.33	
6351818	000745	232718-000997-001040	1928.09	
6351823	000750	232718-000997-001390	2070.75	
6351824	000751	232718-000997-001440	850.24	
6351826	000753	232718-000997-001650	2710.4	
6351827	000754	232718-000997-001690	1857.05	
6351828	000755	232718-000997-001860	1058.36	
6351829	000756	232718-000997-001970	945.35	
6351830	000757	232718-000997-002110	2218.12	
6351831	000758	232718-000997-002150	1656.65	
6351832	000759	232718-000997-002220	722.78	
6351833	000760	232718-000997-002250	1700.71	
6351834	000761	232718-000997-002260	1034.6	
6351836	000763	232718-000998-002600	1712.78	
6351838	000765	232718-000998-002670	2609.16	
6351839	000766	232718-000998-002880	3560.71	
6351840	000767	232718-000998-002950	2538.19	
6351841	000768	232718-000998-002980	1658	
6351842	000769	232718-000998-002990	2187.1	
6351843	000770	232718-000998-003040	1359.19	
6351844	000771	232718-000998-003100	2978.1	
6351847	000774	232718-000998-003290	2295.35	
6351848	000775	232718-000998-003300	1018.76	
6351849	000776	232718-000998-003320	2555.37	
6351850	000777	232718-000998-003550	905.29	
6351854	000781	232718-000998-003770	924.53	
6351856	000783	232718-000998-003900	2289.76	
6351857	000784	232718-000998-003920	283.36	
6351858	000785	232718-000998-004010	2440.08	
6351859	000786	232718-000998-004020	1649.09	
6351860	000787	232718-999948-000750	362.56	
6351861	000788	232718-999960-000070	635.85	
6351862	000789	232718-999960-000430	327.95	
6351863	000790	232718-999960-000510	3694.53	
6351864	000791	232718-999960-000520	1421.71	
6351865	000792	232718-999960-000610	416.55	
6351866	000793	232718-999960-000780	1725.34	
6351868	000795	232719-000000-022160	1124.24	
6351869	000796	232719-000000-022190	1992.25	
6351870	000797	232719-000000-024010	5880.99	
6351871	000798	232719-000000-024050	434.75	
6351872	000799	232719-000000-024080	1026.32	
6351876	000803	232719-000000-024210	1305.81	
6351878	000805	232719-000000-024280	3953.98	
6351880	000807	232719-000000-044080	649.61	
6351883	000810	232720-000000-022050	1368.77	
6351884	000811	232720-000000-022330	575.66	
6351886	000813	232720-000000-024130	1460.69	
6351887	000814	232720-000000-024270	550.82	
6351888	000815	232720-000000-024290	133.98	
6351889	000816	232720-000000-024370	133.98	
6351890	000817	232720-000000-024400	962.9	
6351891	000818	232720-000000-024440	148.85	
6351892	000819	232720-000000-024450	1048.7	
6351893	000820	232720-000000-024480	196.41	
6351894	000821	232720-000000-031030	2233.48	
6351901	000828	232720-000000-044120	3993.31	
6351902	000829	232720-000000-044130	1546.99	
6351904	000831	232720-000000-044150	598.88	
6351905	000832	232720-000000-044170	1191.25	
6351906	000833	232720-000000-044190	1163.03	
6351908	000835	232720-000000-044250	2076.02	
6351909	000836	232720-000000-044270	349.04	
6351919	000846	232720-002000-601010	1695.63	
6351920	000847	232720-002000-601030	1961.35	
6351922	000849	232720-002020-000560	2297.16	
6351923	000850	232720-002020-000690	1937.72	
6351925	000852	232720-002031-000050	2437.75	
6351926	000853	232720-002031-000110	892.79	
6351929	000856	232721-000000-034080	868.04	
6351930	000857	232721-000000-034200	981.75	
6351931	000858	232721-000000-034230	1271.99	
6351932	000859	232721-000000-034270	1113.37	
6351933	000860	232721-000000-041020	624.56	
6351934	000861	232721-000000-043100	2203.47	
6351936	000863	232721-003000-002021	3271.18	
6351937	000864	232721-003000-002100	1754.64	
6351938	000865	232721-003500-002050	570.74	
6351939	000866	232721-005500-000010	8962.71	
6351940	000867	232721-005500-000040	386.43	
6351941	000868	232721-005500-000050	1403.91	
6351944	000871	232721-005500-000160	1266.85	
6351949	000876	232721-007001-000140	1956.41	
6351950	000877	232722-000000-011030	5451.36	
6351953	000880	232722-000000-024120	1460.31	
6351954	000881	232722-000000-024190	606.82	
6351955	000882	232722-000000-042130	1695.31	
6351958	000885	232722-007505-010140	6185.33	
6351961	000888	232722-007510-000020	1354.59	
6351966	000893	232723-000000-024520	2701.45	
6351969	000896	232723-000000-032280	2397.24	
6351971	000898	232723-000000-041290	1325.5	
6351973	000900	232723-000000-041400	528.1	
6351974	000901	232723-008000-000220	1344.68	
6351976	000903	232723-008000-000640	595.09	
6351980	000907	232723-008004-000220	1194.62	
6351986	000913	232724-000000-012005	777.45	
6351987	000914	232724-000000-021003	3472.38	
6351989	000916	232724-000000-021032	3635.29	
6351991	000918	232724-000000-021034	3841.08	
6351992	000919	232724-000000-031006	3791.51	
6351994	000921	232724-000000-031018	3558.96	
6351996	000923	232724-000000-033002	1470.1	
6351997	000924	232724-000000-034002	3876.49	
6351998	000925	232724-000000-034010	317.32	
6351999	000926	232724-000000-034025	796.38	
6352000	000927	232724-000000-034054	43.62	
6352002	000929	232724-000000-041008	3812.01	
6352004	000931	232724-000000-043004	1842.42	
6352005	000932	232724-000000-043014	471.35	
6352006	000933	232724-008200-012502	2359.83	
6352009	000936	232724-008300-004060	1692.98	
6352010	000937	232724-008400-001040	1277.65	
6352011	000938	232724-008400-002010	583.74	
6352013	000940	232724-008500-000180	507.76	
6352014	000941	232724-008500-000190	507.76	
6352019	000946	232724-008700-001220	612.72	
6352020	000947	232724-008700-001340	2215.58	
6352021	000948	232724-008800-003010	3988.12	
6352023	000950	232724-008800-003070	3308.77	
6352025	000952	232725-000000-022010	1374.85	
6352026	000953	232725-000000-034030	4261.55	
6352027	000954	232725-009000-006004	185789.27	
6352029	000956	232725-009200-000200	1706.87	
6352036	000963	232725-009200-001151	1481.68	
6352037	000964	232725-009200-001240	1167.37	
6352042	000969	232725-009210-002020	1489.5	
6352044	000971	232725-009210-002460	979.21	
6352051	000978	232726-000000-021120	1720.5	
6352053	000980	232726-000000-021270	1371.11	
6352054	000981	232726-000000-021310	2121.59	
6352056	000983	232726-000000-021370	890	
6352059	000986	232726-009700-004030	3370.77	
6352060	000987	232726-009700-004090	2794.83	
6352061	000988	232726-009700-007030	3343.21	
6352062	000989	232726-009700-009010	2167.76	
6352063	000990	232726-009700-009060	4575.72	
6352064	000991	232726-010000-002102	4684.01	
6352066	000993	232726-010000-003510	928.81	
6352067	000994	232726-010000-003907	2394.56	
6352069	000996	232726-010000-004900	2555.28	
6352070	000997	232726-010000-005005	3475.57	
6352071	000998	232726-010010-004170	1608.44	
6352072	000999	232726-010010-004480	546.27	
6352077	001004	232726-010010-006150	633.05	
6352078	001005	232726-010011-006870	1878.14	
6352080	001007	232726-010014-000122	3502.74	
6352081	001008	232727-000000-034010	1131.39	
6352083	001010	232727-000000-043060	1830.38	
6352089	001016	232727-010502-001520	3117.26	
6352090	001017	232727-010504-002510	6099.22	
6352091	001018	232728-000000-012030	1124.66	
6352092	001019	232728-000000-013060	1986.03	
6352093	001020	232728-000000-013100	1375.11	
6352094	001021	232728-000000-023120	136.36	
6352096	001023	232728-000000-023140	1530.5	
6352098	001025	232728-000000-023280	187.31	
6352099	001026	232728-000000-023310	1552.83	
6352100	001027	232728-000000-024090	1026.72	
6352101	001028	232728-000000-024150	609.94	
6352104	001031	232728-000000-031010	266.18	
6352105	001032	232728-000000-031100	3470.34	
6352106	001033	232728-000000-031140	2808.6	
6352107	001034	232728-000000-031170	781.92	
6352108	001035	232728-000000-031200	1480.64	
6352109	001036	232728-000000-031210	841.21	
6352110	001037	232728-000000-031230	1330.99	
6352111	001038	232728-000000-031270	660.42	
6352112	001039	232728-000000-034100	1287.7	
6352113	001040	232728-000000-042130	1425.61	
6352114	001041	232728-000000-043070	1201.3	
6352115	001042	232728-011010-000050	977.32	
6352117	001044	232728-011011-000340	2253.39	
6352118	001045	232728-011011-000370	894.33	
6352119	001046	232728-011011-000410	897.68	
6352120	001047	232728-011011-000590	2102.23	
6352122	001049	232728-011014-000160	869.73	
6352123	001050	232728-011014-000210	1217.43	
6352124	001051	232728-011014-000230	980.04	
6352128	001055	232728-011014-000560	1550.32	
6352129	001056	232728-011015-000690	1715.67	
6352132	001059	232728-011015-000750	1500.03	
6352135	001062	232728-011015-000870	1918.21	
6352137	001064	232728-011016-001040	284.84	
6352138	001065	232728-011016-001070	937.33	
6352139	001066	232728-011016-001130	2483.62	
6352140	001067	232728-011016-001330	670.45	
6352141	001068	232728-011016-001400	1428.48	
6352142	001069	232728-011016-001570	2837.36	
6352143	001070	232728-011016-001600	2042.14	
6352144	001071	232728-011017-000020	1756.36	
6352145	001072	232728-011017-000050	1458.09	
6352146	001073	232728-011017-000090	296.22	
6352148	001075	232728-011017-000110	1473.95	
6352150	001077	232728-011017-000180	1781.12	
6352151	001078	232728-011017-000270	1406.44	
